N,P,K,temperature,humidity,ph,rainfall,label
98,49,44,27.31993941811405,88.97987726295555,5.390046601106091,173.3991780504304,rice
70,40,33,21.428668179219407,89.76332709423279,5.141028947567751,258.2998158400237,rice
89,35,31,21.818249672071005,82.7510676478015,5.760605607398844,228.71346474483568,rice
84,46,39,20.466656632136154,94.60633278262189,5.581928351075761,163.59096517992313,rice
62,34,48,26.803075385877797,86.75748877954314,5.033162402899666,291.3302633527279,rice
73,47,38,20.15966252220214,83.46340738433223,5.602563665065029,252.48952782381872,rice
67,44,32,29.093204020787823,83.88169972400026,6.656305710884955,196.75666141341165,rice
65,51,39,25.677003278199916,80.46969938683338,7.105711936487497,217.46312000546484,rice
69,59,33,25.97899978811085,93.82811352534675,5.221231255129799,179.39742936287178,rice
99,50,45,27.47320110137381,88.0953819858362,6.466877914159621,294.7882960896207,rice
88,44,42,20.745506436797708,94.80330404900776,6.930611923241644,179.80735223012587,rice
83,40,48,27.06857343847617,90.9351075206148,6.928175866714865,161.10669776011355,rice
98,55,38,29.149596755437805,92.75057866684699,6.123626685345508,164.3115174735617,rice
82,59,34,27.29606178338064,89.5633620703282,7.218031856440817,220.8322387742924,rice
96,44,43,28.48913824266084,90.8259428174731,5.58996229937239,188.41024841419858,rice
86,38,44,24.275410183585496,80.38128690116143,5.269728567483261,154.71437785301015,rice
98,46,49,25.632755719763836,90.43274129639191,5.348328636014689,240.66260689167257,rice
74,40,33,29.42853570557981,88.98298199732804,6.736962332599261,282.0701758522887,rice
65,57,41,21.86570058886036,93.38838497734966,6.348355604789127,271.11602327460935,rice
87,54,36,29.06828441545754,84.08198374076953,6.619225301353406,150.07805654929737,rice
72,38,32,20.069521305311905,87.66120953866348,6.043527507871947,183.31617157060953,rice
83,44,38,24.038361710580407,80.97338370663472,5.634788534835861,187.03140942579017,rice
98,31,32,23.008783098167697,84.27260741566201,5.092217368386332,241.4346500969845,rice
61,57,34,23.45071248026683,89.51527017052045,6.701763628886917,229.64018749757045,rice
85,35,33,20.808533263327153,85.54481684092107,5.605399845693565,270.47096345698435,rice
64,49,31,26.335297107608948,88.03662026112139,5.225724425136021,275.2953743383857,rice
65,45,32,25.90892943188242,90.16346542763424,5.041469572319641,226.81395874489215,rice
78,49,36,21.743664290049914,90.364066071537,5.966838365751343,290.50949831051014,rice
60,40,47,29.24693618278563,93.16009030071471,5.644854069287889,248.99760690512687,rice
85,45,49,25.296505783560065,83.62778436350678,5.232756919514748,284.582363692999,rice
96,56,38,22.788713525921818,90.50536744959157,7.116652855595765,278.4486437817138,rice
92,53,49,20.84139964995049,82.4244307114192,7.246385471317698,240.9643589489385,rice
94,45,32,29.736638367553173,84.25881462106199,5.763409650860984,222.842063037934,rice
94,45,38,21.759252526773455,80.27113045423282,6.234734287958586,176.8234063831993,rice
67,36,32,26.576128923003434,88.52462905003208,5.234186919570231,205.157370458915,rice
81,43,35,29.78892858275009,87.30113229439182,7.265246969296385,215.1591548265643,rice
80,59,30,25.76903884626359,87.38776540728296,5.4881074694951115,258.3678172892258,rice
78,33,32,27.68554014306309,80.6540565763165,7.486376276993353,220.49167709864145,rice
65,32,38,29.53071847023953,84.9612545700577,6.381912417088724,235.84387037562573,rice
92,49,30,23.169220051562775,82.54239120029139,6.392003156145876,290.4232161241172,rice
62,37,43,20.971764937707686,89.22510840048754,7.475134625260658,171.0126022854786,rice
86,39,31,23.225507642386006,92.73004692387012,5.341553328605072,256.3366495365178,rice
98,58,39,28.093611554785134,92.15170092018771,7.167680796450259,286.98608288347066,rice
66,54,33,27.98295178966775,89.74945896166648,6.754917193144259,269.36890041541517,rice
71,48,44,23.755829526399438,81.40972909761304,6.4457003524904355,155.39134106951133,rice
84,55,46,20.373481887492144,92.33900840989487,5.9004766035281575,169.05907689778272,rice
92,37,41,29.652518303907698,86.85897742420593,7.105057687529953,179.15700509923096,rice
89,44,32,26.374299014982064,90.89137000583992,7.439630198656337,227.44505224517928,rice
89,48,46,23.988209014447946,86.50281106371114,6.860106607497789,187.6290791019992,rice
85,50,38,26.884999007653665,80.87290393262666,7.288034319066201,216.35283445966567,rice
91,59,45,21.828659971073073,94.01920996009565,6.595676484608376,227.504438613985,rice
64,51,32,22.477309895011576,85.33959017976892,6.8946152761609225,152.15902329446337,rice
73,57,34,20.941569882685602,84.67119964086942,7.448776321553771,176.2995404834008,rice
75,55,45,28.069129770507793,85.19456481634101,6.161684532349028,247.4660523964145,rice
69,51,34,28.866803872980476,83.9134043501257,5.0382613507259615,290.01544621192244,rice
91,30,34,26.83963769398141,89.2377674658487,7.3597290114018925,291.63773956877515,rice
87,56,49,25.754741778758792,85.82254889309783,6.608220546105883,218.7379335737275,rice
96,41,32,28.20426843771268,89.77227157786682,5.516710899691864,191.09416909817006,rice
71,43,31,20.389631323102336,89.2738082650684,5.841385537221816,248.35839530711132,rice
88,55,39,20.23271935735826,92.21702723883404,5.7046369369334995,167.72472414324844,rice
70,58,33,24.179460317155787,94.51370827280371,6.369929708120218,213.5206413462178,rice
83,32,46,27.316477552996403,81.91534594133698,5.625041123040262,237.08160185158647,rice
82,59,34,22.3859685979034,90.19767169850368,6.849771901118436,185.7354228605969,rice
89,46,46,25.052523724478572,92.39686199161612,5.8001240025765295,284.3284842744301,rice
95,41,38,28.471431440955897,85.32357785694082,7.392002212816141,251.5154856636455,rice
78,55,44,20.832844111952596,81.37556220887721,6.506102314752797,233.05545785187013,rice
80,33,45,27.89618142794554,81.36809154573035,6.236050761756454,158.63381400249665,rice
90,55,34,27.37035556791009,88.18873655247484,6.764578709696736,295.29779159612025,rice
68,39,41,28.668687053108414,92.57721145645978,6.065228687617353,183.3864626356546,rice
68,47,31,20.813487806418998,81.27256571127788,7.4665989462529385,206.14061936341804,rice
60,51,49,22.366851936820787,93.6154055952282,6.479721847053211,202.53273700504704,rice
90,48,41,25.58404249735805,86.36333013870464,7.26588596273684,166.6796223459227,rice
62,42,42,24.05202086781417,88.57209537807516,6.852434652276671,265.07922796628577,rice
98,30,32,25.833687650971598,94.43258822711813,5.93717644880926,192.8568129422791,rice
92,35,35,28.021092490267343,94.66851003131406,6.390012596606462,198.40295824163755,rice
75,51,40,29.191157152786595,83.79485251983861,6.738527807766619,161.3151820634654,rice
73,44,30,26.275580800840636,88.7647146788465,7.252895026227472,156.81695705121868,rice
71,39,45,28.902637838909165,86.8348512917857,6.550331494503842,191.6071774471699,rice
87,33,37,23.533522280260527,88.75484167776308,5.194336592412462,296.159221149925,rice
86,51,46,22.797635071689456,86.16810081308279,6.506954705058247,190.64364637726948,rice
72,43,32,28.22537242923169,94.24699869937886,6.8142987709709,242.01227939036846,rice
61,39,47,25.5158787254407,82.47251391705501,6.028137791463423,266.64034256028384,rice
77,44,46,23.767389699379407,91.24367449964109,5.982473622447148,274.3746331059772,rice
72,30,31,20.368218676359913,82.0077817820095,5.0341799120674935,161.30385905286934,rice
87,46,34,29.997176732861305,94.94955255610859,6.388579264006569,265.34811227707655,rice
96,39,39,23.778505492757866,83.61627248494447,5.512613321266312,187.71636592676975,rice
72,33,30,26.717006844058567,89.27192360686844,5.895406795082101,167.03363882994435,rice
85,55,31,24.76210696789014,92.47057235093752,5.769443099427623,272.45786028195937,rice
64,59,46,21.340152284506406,80.43174014470009,6.887843139184048,243.04643270301972,rice
61,40,48,29.031510586766263,89.25895568145938,7.451156812730945,241.2131774312828,rice
77,59,44,24.37474922023729,93.56238041740623,5.870638667558251,227.09842337397163,rice
83,44,39,28.62363708746745,94.24280935486463,5.367683702322595,288.98814377422417,rice
69,46,49,24.591357562382612,94.70048862928215,6.231545234982174,199.31274154312624,rice
70,48,44,21.288797219106492,81.92068758436659,5.379756733780736,170.82407589741152,rice
67,33,37,26.96501466227079,86.17491821536292,7.185794012136043,227.28540822963163,rice
91,47,48,20.40868616266479,82.53402594608247,5.6964758475798964,176.55157264151202,rice
80,35,30,25.34423503732523,85.33987226407979,7.235543157239814,169.31225974494657,rice
85,42,38,20.92290586228746,87.2171809108444,6.719461792740208,226.74855203208918,rice
76,55,33,28.062012797930613,91.22389535575488,5.461302548390943,181.40239850050654,rice
81,43,43,24.62534716133148,91.21206407200634,5.091708007226495,187.8655416516031,rice
26,12,32,26.698516515966325,63.9451068369392,5.714344022679552,89.21536035058001,maize
118,24,73,22.577134926139475,56.977787339708016,5.540142395555453,75.42870821414961,maize
105,53,34,33.138963772578215,66.7116604099322,6.85820463828898,126.80883624680722,maize
37,43,17,27.971102389232904,65.40063441351886,6.257545251902579,77.119151725911,maize
71,35,73,27.7032311793715,56.024352665403086,7.47303049758596,106.6352301292576,maize
52,62,31,21.83065756111298,56.44105688533259,6.475619601617476,133.5899269619761,maize
81,71,33,33.24501221864923,43.6105185547739,6.549022779140509,85.14365096886277,maize
55,33,15,24.76354518377761,83.6261694973916,7.23101425178796,129.87792780442078,maize
113,60,71,33.79939181516896,65.05433018562684,6.6432253789398,70.79770030263126,maize
63,14,79,34.45589913057198,71.99286154765367,5.89901385467664,120.9871902068337,maize
31,56,10,28.380540721507757,52.98837489581151,6.662476442845224,56.97989868016225,maize
119,12,42,24.276918185668233,60.442058749859484,6.597206235876307,100.3814177877875,maize
21,22,49,31.767865579528795,51.45882946436937,6.863005444447858,123.62506458786552,maize
94,24,33,28.303731977949255,75.74302524849081,5.713398500226872,133.58002060181002,maize
79,59,18,21.485030770905034,57.06528632337102,7.352898847179422,119.3756205826405,maize
79,73,20,31.519544301618133,49.073229402148506,5.827311885731409,58.069237772409224,maize
24,35,71,24.100118230099543,79.47402433658988,6.284890214845271,129.8259383418735,maize
58,23,41,25.86555635638331,53.5620043373864,6.995218760352502,95.29924291017271,maize
44,26,75,27.240398638937805,80.7912449934046,6.748475991827984,52.85878447792005,maize
25,76,16,30.419335325758126,71.21729233315023,5.833461519986766,136.6492026910782,maize
52,36,45,34.96077447070533,73.85814040174702,6.913960922486918,125.64291329558262,maize
52,77,75,30.961797657591738,79.45445365427872,6.184163497431815,130.3383035139214,maize
50,56,61,24.753883939526244,75.87829146007991,5.799834854697547,65.21765347559057,maize
95,54,11,18.20745222940676,66.92992155423522,6.631016694645948,118.77969822062474,maize
